형태소,품사,분류,카운트,상대빈도,시각화용,,,
Kim,Alpha,교촌 전,1,,Kim ,,,
Kim,Alpha,교촌 전,1,,Kim ,,,
Kimchi,Alpha,교촌 전,1,,Kimchi ,,,
Kkkk,Alpha,교촌 전,2,,Kkkk Kkkk ,,,
KoSungJin,Alpha,교촌 전,1,,KoSungJin ,,,
Koo,Alpha,교촌 전,1,,Koo ,,,
Korea,Alpha,교촌 전,1,,Korea ,,,
Korean,Alpha,교촌 전,1,,Korean ,,,
Korean,Alpha,교촌 전,1,,Korean ,,,
Korean,Alpha,교촌 전,1,,Korean ,,,
Kru,Alpha,교촌 전,1,,Kru ,,,
Kwon,Alpha,교촌 전,1,,Kwon ,,,
Kyochon,Alpha,교촌 전,1,,Kyochon ,,,
Kyochon,Alpha,교촌 전,1,,Kyochon ,,,
Kyochon,Alpha,교촌 전,2,,Kyochon Kyochon ,,,
